disease,pgs_id,family,trait,pgs_auc,module_auc,margin,is_clean
Ankylosing_Spondylitis,PGS003423,Ankylosing_Spondylitis,Ankylosing spondylitis,0.5019,0.673,0.1711,True
Ankylosing_Spondylitis,PGS003421,Ankylosing_Spondylitis,Ankylosing spondylitis,0.5247,0.673,0.1483,True
Ankylosing_Spondylitis,PGS003422,Ankylosing_Spondylitis,Ankylosing spondylitis,0.5247,0.673,0.1483,True
Ankylosing_Spondylitis,PGS000197,Ankylosing_Spondylitis,Spondyloarthroparthy,0.5543,0.673,0.1187,True
Ankylosing_Spondylitis,PGS003420,Ankylosing_Spondylitis,Ankylosing spondylitis,0.5666,0.673,0.1064,True
Ankylosing_Spondylitis,PGS001268,Ankylosing_Spondylitis,Ankylosing spondylitis (time-to-event),0.6665,0.673,0.0065,True
Ankylosing_Spondylitis,PGS001267,Ankylosing_Spondylitis,Ankylosing spondylitis,0.6668,0.673,0.0062,True
Ankylosing_Spondylitis,PGS003424,Ankylosing_Spondylitis,Ankylosing spondylitis,0.6722,0.673,0.0008,True
Ankylosing_Spondylitis,PGS001876,Ankylosing_Spondylitis,Ankylosing spondylitis,0.6978,0.673,-0.0248,True
Ankylosing_Spondylitis,PGS002089,Ankylosing_Spondylitis,Ankylosing spondylitis,0.7318,0.673,-0.0588,True
Asthma,PGS002432,Asthma,Asthma,0.5008,0.9678,0.467,True
Asthma,PGS002579,Asthma,Asthma,0.5008,0.9678,0.467,True
Asthma,PGS003487,Asthma,General atopic disease (IL-4 related variants),0.502,0.9678,0.4658,True
Asthma,PGS001109,Asthma,Vasomotor and allergic rhinitis (time-to-event),0.5032,0.9678,0.4646,True
Asthma,PGS000799,Asthma,Asthma,0.5066,0.9678,0.4612,True
Asthma,PGS000037,Asthma,Asthma,0.5079,0.9678,0.4599,True
Asthma,PGS001372,Asthma,Age hayfever or allergic rhinitis diagnosed by doctor,0.5082,0.9678,0.4596,True
Asthma,PGS001344,Asthma,Asthma (diagnosed by doctor),0.5086,0.9678,0.4592,True
Asthma,PGS001341,Asthma,Asthma,0.5093,0.9678,0.4585,True
Asthma,PGS002530,Asthma,Asthma,0.5107,0.9678,0.4571,True
Asthma,PGS004252,Asthma,Asthma,0.5116,0.9678,0.4562,True
Asthma,PGS004277,Asthma,Asthma,0.5147,0.9678,0.4531,True
Asthma,PGS004278,Asthma,Asthma,0.5158,0.9678,0.452,True
Asthma,PGS001284,Asthma,"Allergic disease (hay fever, allergic rhinitis, or eczema)",0.5166,0.9678,0.4512,True
Asthma,PGS000810,Asthma,"Allergic disease (asthma, hay fever or eczema)",0.5219,0.9678,0.4459,True
Asthma,PGS001343,Asthma,Asthma (algorithmically-defined),0.5219,0.9678,0.4459,True
Asthma,PGS005121,Asthma,Asthma,0.5221,0.9678,0.4457,True
Asthma,PGS000800,Asthma,Allergic disease,0.5257,0.9678,0.4421,True
Asthma,PGS001346,Asthma,Asthma (time-to-event),0.5274,0.9678,0.4404,True
Asthma,PGS000780,Asthma,Allergic disease,0.5287,0.9678,0.4391,True
Asthma,PGS004439,Asthma,Asthma,0.5298,0.9678,0.438,True
Asthma,PGS003488,Asthma,General atopic disease (IL-12 related variants),0.5317,0.9678,0.4361,True
Asthma,PGS004509,Asthma,Asthma,0.5327,0.9678,0.4351,True
Asthma,PGS004537,Asthma,J45 (Asthma),0.539,0.9678,0.4288,True
Asthma,PGS004467,Asthma,J45 (Asthma),0.5393,0.9678,0.4285,True
Asthma,PGS004275,Asthma,Asthma,0.5423,0.9678,0.4255,True
Asthma,PGS005126,Asthma,Asthma,0.5444,0.9678,0.4234,True
Asthma,PGS005141,Asthma,Asthma,0.5445,0.9678,0.4233,True
Asthma,PGS005148,Asthma,Asthma,0.5447,0.9678,0.4231,True
Asthma,PGS000867,Asthma,Allergy,0.547,0.9678,0.4208,True
Asthma,PGS004179,Asthma,Asthma,0.5503,0.9678,0.4175,True
Asthma,PGS001787,Asthma,Asthma,0.5508,0.9678,0.417,True
Asthma,PGS001283,Asthma,"Allergic disease (hay fever, rhinitis or eczema)",0.5518,0.9678,0.416,True
Asthma,PGS002248,Asthma,Childhood asthma,0.5522,0.9678,0.4156,True
Asthma,PGS004724,Asthma,Asthma,0.5539,0.9678,0.4139,True
Asthma,PGS004726,Asthma,Asthma,0.5539,0.9678,0.4139,True
Asthma,PGS005128,Asthma,Asthma,0.5542,0.9678,0.4136,True
Asthma,PGS005129,Asthma,Asthma,0.5544,0.9678,0.4134,True
Asthma,PGS000769,Asthma,Response to bronchodilator (albutamol),0.5547,0.9678,0.4131,True
Asthma,PGS002481,Asthma,Asthma,0.5561,0.9678,0.4117,True
Asthma,PGS005140,Asthma,Asthma,0.5572,0.9678,0.4106,True
Asthma,PGS001345,Asthma,Asthma (diagnosed by doctor),0.5604,0.9678,0.4074,True
Asthma,PGS005136,Asthma,Asthma,0.561,0.9678,0.4068,True
Asthma,PGS003489,Asthma,General atopic disease (IL-17 related variants),0.5623,0.9678,0.4055,True
Asthma,PGS002727,Asthma,Asthma,0.5627,0.9678,0.4051,True
Asthma,PGS004276,Asthma,Asthma,0.5627,0.9678,0.4051,True
Asthma,PGS005135,Asthma,Asthma,0.5638,0.9678,0.404,True
Asthma,PGS005123,Asthma,Asthma,0.5645,0.9678,0.4033,True
Asthma,PGS002383,Asthma,Asthma,0.565,0.9678,0.4028,True
Asthma,PGS005131,Asthma,Asthma,0.5656,0.9678,0.4022,True
Asthma,PGS004877,Asthma,Asthma,0.5669,0.9678,0.4009,True
Asthma,PGS005132,Asthma,Asthma,0.569,0.9678,0.3988,True
Asthma,PGS004176,Asthma,Asthma,0.5697,0.9678,0.3981,True
Asthma,PGS005139,Asthma,Asthma,0.571,0.9678,0.3968,True
Asthma,PGS002628,Asthma,Asthma,0.5712,0.9678,0.3966,True
Asthma,PGS004180,Asthma,Asthma,0.5715,0.9678,0.3963,True
Asthma,PGS005138,Asthma,Asthma,0.5721,0.9678,0.3957,True
Asthma,PGS004725,Asthma,Asthma,0.573,0.9678,0.3948,True
Asthma,PGS004177,Asthma,Asthma,0.5754,0.9678,0.3924,True
