pgs_id	total	label	performance	applicability	match_confidence	performance_source	trait	method_name	variants_number	performance_detail	applicability_detail	match_detail
PGS000001	60	confident	15	30	15	measured	Breast cancer	SNPs passing genome-wide significance	77	AUROC=0.659 (4 studies), 19 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000002	54	likely	9	30	15	measured	ER-positive breast cancer	SNPs passing genome-wide significance	77	AUROC=0.615 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000003	52	likely	7	30	15	measured	ER-negative breast cancer	SNPs passing genome-wide significance	77	AUROC=0.584 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000004	57	likely	12	30	15	measured	Breast cancer	Hard-Thresholding Stepwise Forward Regression	313	AUROC=0.630 (28 studies), 108 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000005	57	likely	12	30	15	measured	ER-positive breast cancer	Hard-Thresholding Stepwise Forward Regression	313	AUROC=0.629 (10 studies), 33 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000006	55	likely	10	30	15	measured	ER-negative breast cancer	Hard-Thresholding Stepwise Forward Regression	313	AUROC=0.600 (3 studies), 25 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000007	57	likely	12	30	15	measured	Breast cancer	LASSO penalized regression	3820	AUROC=0.630 (6 studies), 10 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000008	57	likely	12	30	15	measured	ER-positive breast cancer	LASSO penalized regression	3820	AUROC=0.647 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000009	53	likely	8	30	15	measured	ER-negative breast cancer	LASSO penalized regression	3820	AUROC=0.600 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000010	55	likely	10	30	15	partial	Coronary heart disease	Genome-wide significant variants	27	6 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000011	65	confident	23	27	15	measured	Coronary artery disease	Genome-wide significant variants	50	AUROC=0.763 (3 studies), 23 evals	gwas=9/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000012	59	likely	20	24	15	measured	Coronary artery disease	LD thinning	49310	OR=1.74 (2 studies)	gwas=6/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000013	68	confident	23	30	15	measured	Coronary artery disease	LDpred	6630150	AUROC=0.766 (35 studies), 111 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000014	64	confident	19	30	15	measured	Type 2 diabetes (T2D)	LDpred	6917436	AUROC=0.711 (15 studies), 35 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000015	54	likely	9	30	15	measured	Breast cancer	Pruning and Thresholding (P+T)	5218	AUROC=0.610 (4 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000016	69	confident	24	30	15	measured	Atrial fibrillation	LDpred	6730541	AUROC=0.770 (3 studies), 13 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000017	60	confident	15	30	15	measured	Inflammatory bowel disease	LDpred	6907112	AUROC=0.690 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000018	66	confident	24	27	15	measured	Coronary artery disease	metaGRS	1745179	AUROC=0.772 (15 studies), 103 evals	gwas=9/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000019	65	confident	20	30	15	measured	Coronary artery disease	Genome-wide significant variants	192	OR=1.80 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000020	67	confident	22	30	15	measured	Type 2 diabetes (T2D)	Pruning and Thresholding (P+T)	7502	AUROC=0.771 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000021	78	confident	33	30	15	measured	Type 1 diabetes (T1D)	SNP associations curated from the literature	33	AUROC=0.893 (4 studies), 14 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000022	66	confident	28	23	15	measured	Type 1 diabetes (T1D)	Genome-wide significant variants	37	AUROC=0.851 (3 studies)	gwas=5/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000023	58	likely	22	21	15	measured	Type 1 diabetes (T1D)	Genome-wide significant variants	7	AUROC=0.781 (5 studies)	gwas=3/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000024	77	confident	32	30	15	measured	Type 1 diabetes (T1D)	Genome-wide significant associations and interaction modelling	85	AUROC=0.870 (17 studies), 26 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000025	55	likely	10	30	15	partial	Alzheimer's disease	log-OR weighted sum of risk allele dosages	19	3 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000026	55	likely	10	30	15	partial	Alzheimer's disease	Hazard model with stepwise selection of SNP inclusion	33	11 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000027	63	confident	18	30	15	measured	Body mass index (BMI)	LDpred	2100302	R²=0.0853 (4 studies), 539 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000028	55	likely	10	30	15	measured	Breast cancer	composite likelihood ratio	83	AUROC=0.630 (4 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
